2026-02-21 09:37:10,668 - INFO - TestLogger - File log đã được tạo: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260221_093710\logs\log.txt
2026-02-21 09:37:10,786 - INFO - TestLogger - Báo cáo HTML: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260221_093710\html\report.html
2026-02-21 09:37:12,220 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='Linh', SDT='', DC='H\u1ea3i Ph\xf2ng', YC=''] =====
2026-02-21 09:37:28,496 - INFO - TestLogger - TEST PASSED: test_mua_hang[TEN='Linh', SDT='', DC='H\u1ea3i Ph\xf2ng', YC='']
2026-02-21 09:37:30,802 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='Linh', SDT='', DC='H\u1ea3i Ph\xf2ng', YC=''] =====

2026-02-21 09:37:30,809 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='Linh', SDT='0193847653', DC='', YC=''] =====
2026-02-21 09:37:52,341 - ERROR - TestLogger - TEST FAILED: test_mua_hang[TEN='Linh', SDT='0193847653', DC='', YC='']
2026-02-21 09:37:52,341 - ERROR - TestLogger - Screenshot: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260221_093710\screenshots\test_mua_hang[TEN='Linh', SDT='0193847653', DC='', YC=''].png
2026-02-21 09:37:54,660 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='Linh', SDT='0193847653', DC='', YC=''] =====

2026-02-21 09:37:54,678 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='', SDT='', DC='', YC='H\xfat ch\xe2n kh\xf4ng'] =====
2026-02-21 09:38:12,395 - INFO - TestLogger - TEST PASSED: test_mua_hang[TEN='', SDT='', DC='', YC='H\xfat ch\xe2n kh\xf4ng']
2026-02-21 09:38:14,703 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='', SDT='', DC='', YC='H\xfat ch\xe2n kh\xf4ng'] =====

2026-02-21 09:38:14,708 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='', SDT='0192837465', DC='', YC=''] =====
2026-02-21 09:38:30,766 - INFO - TestLogger - TEST PASSED: test_mua_hang[TEN='', SDT='0192837465', DC='', YC='']
2026-02-21 09:38:33,206 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='', SDT='0192837465', DC='', YC=''] =====

