2026-03-05 09:35:30,002 - INFO - TestLogger - File log đã được tạo: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260305_093530\logs\log.txt
2026-03-05 09:35:30,187 - INFO - TestLogger - Báo cáo HTML: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260305_093530\html\report.html
2026-03-05 09:35:32,718 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='g\u1ea5u r\u1ea5t \u0111\u1eb9p', TEN=' ng\u1ecdc h\xe0', SDT='0927856143'] =====
2026-03-05 09:35:54,859 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND='g\u1ea5u r\u1ea5t \u0111\u1eb9p', TEN=' ng\u1ecdc h\xe0', SDT='0927856143']
2026-03-05 09:35:57,348 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='g\u1ea5u r\u1ea5t \u0111\u1eb9p', TEN=' ng\u1ecdc h\xe0', SDT='0927856143'] =====

2026-03-05 09:35:57,354 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='g\u1ea5u r\u1ea5t cute', TEN=' abc', SDT='01928376'] =====
2026-03-05 09:36:14,186 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND='g\u1ea5u r\u1ea5t cute', TEN=' abc', SDT='01928376']
2026-03-05 09:36:16,427 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='g\u1ea5u r\u1ea5t cute', TEN=' abc', SDT='01928376'] =====

2026-03-05 09:36:16,433 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='nh\xecn c\u01b0ng qu\xe1 tr\u1eddi', TEN=' thu h\xe0', SDT='098712364532'] =====
2026-03-05 09:36:36,481 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND='nh\xecn c\u01b0ng qu\xe1 tr\u1eddi', TEN=' thu h\xe0', SDT='098712364532']
2026-03-05 09:36:38,700 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='nh\xecn c\u01b0ng qu\xe1 tr\u1eddi', TEN=' thu h\xe0', SDT='098712364532'] =====

2026-03-05 09:36:38,707 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='xinh x\u1ec9u', TEN=' hien', SDT=' abc124%^&'] =====
2026-03-05 09:36:57,613 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND='xinh x\u1ec9u', TEN=' hien', SDT=' abc124%^&']
2026-03-05 09:37:00,040 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='xinh x\u1ec9u', TEN=' hien', SDT=' abc124%^&'] =====

2026-03-05 09:37:00,046 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='g\u1ea5u \u0111\u1eb9p gh\xea', TEN=' trang', SDT=''] =====
2026-03-05 09:37:15,404 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND='g\u1ea5u \u0111\u1eb9p gh\xea', TEN=' trang', SDT='']
2026-03-05 09:37:17,641 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='g\u1ea5u \u0111\u1eb9p gh\xea', TEN=' trang', SDT=''] =====

2026-03-05 09:37:17,647 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='m\xecnh t\u1eebng mua \u1edf shop r\u1ed3i uy t\xedn nh\xe9', TEN=' #$%^', SDT='0981237645'] =====
